City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
150,Kahului,20.8947,-156.47,77.85,88,1,14.97,US,2021-07-26 14:51:48
151,Saskylakh,71.9167,114.0833,50.2,79,41,7.0,RU,2021-07-26 14:52:09
152,Narsaq,60.9167,-46.05,60.35,42,68,3.15,GL,2021-07-26 14:51:48
153,Hami,42.8,93.45,91.36,16,58,14.74,CN,2021-07-26 14:52:10
154,Fethiye,36.6217,29.1164,87.67,37,1,5.01,TR,2021-07-26 14:52:10
155,Berdigestyakh,62.0989,126.6992,68.88,66,53,6.2,RU,2021-07-26 14:52:10
156,Tuy Hoa,13.0833,109.3,84.78,65,24,17.16,VN,2021-07-26 14:49:54
157,Atuona,-9.8,-139.0333,78.01,66,78,23.82,PF,2021-07-26 14:52:11
158,Severo-Kurilsk,50.6789,156.125,57.16,90,76,4.92,RU,2021-07-26 14:52:11
159,East London,-33.0153,27.9116,68.94,45,0,9.22,ZA,2021-07-26 14:52:11
160,Ponta Do Sol,32.6667,-17.1,83.01,75,30,2.15,PT,2021-07-26 14:51:23
161,Melfort,52.8667,-104.6177,60.93,77,100,10.36,CA,2021-07-26 14:52:12
162,Maniitsoq,65.4167,-52.9,50.56,68,100,14.32,GL,2021-07-26 14:52:12
163,Coquimbo,-29.9533,-71.3436,53.33,71,0,6.91,CL,2021-07-26 14:51:09
164,Kieta,-6.2167,155.6333,78.58,83,11,3.42,PG,2021-07-26 14:52:13
165,Tuatapere,-46.1333,167.6833,46.81,86,99,4.97,NZ,2021-07-26 14:52:13
166,Clyde River,70.4692,-68.5914,37.63,100,90,6.91,CA,2021-07-26 14:49:53
167,Zerbst,51.9667,12.0833,87.46,46,78,9.86,DE,2021-07-26 14:52:13
168,Superior,46.7208,-92.1041,81.01,61,1,4.61,US,2021-07-26 14:52:13
169,Benghazi,32.1167,20.0667,83.39,53,0,19.62,LY,2021-07-26 14:52:14
170,Dunedin,-45.8742,170.5036,48.79,76,100,23.0,NZ,2021-07-26 14:49:20
171,Ullapool,57.8987,-5.1604,75.76,77,98,5.03,GB,2021-07-26 14:52:14
172,Tiksi,71.6872,128.8694,39.7,97,100,12.24,RU,2021-07-26 14:52:14
173,Belmonte,-15.8631,-38.8828,73.9,75,24,7.47,BR,2021-07-26 14:52:12
174,Nenjiang,49.1833,125.2167,65.48,98,100,8.79,CN,2021-07-26 14:52:15
175,Nemuro,43.3236,145.575,61.07,99,100,14.14,JP,2021-07-26 14:52:15
176,Ha Tinh,18.3333,105.9,81.84,75,29,7.16,VN,2021-07-26 14:52:15
177,Kaitangata,-46.2817,169.8464,49.93,67,100,8.97,NZ,2021-07-26 14:52:16
178,Talnakh,69.4865,88.3972,66.13,77,95,1.92,RU,2021-07-26 14:52:16
179,Agvali,42.5385,46.1197,74.71,86,68,3.0,RU,2021-07-26 14:52:16
180,Daultala,33.1925,73.1413,93.04,50,100,13.85,PK,2021-07-26 14:52:17
181,Aksu,41.1231,80.2644,92.05,20,0,2.93,CN,2021-07-26 14:52:17
182,Alofi,-19.0595,-169.9187,67.89,100,54,4.61,NU,2021-07-26 14:52:17
183,Mabaruma,8.2,-59.7833,87.93,57,27,4.45,GY,2021-07-26 14:52:18
184,Dikson,73.5069,80.5464,43.59,86,83,0.98,RU,2021-07-26 14:52:18
185,San Jose De Guanipa,8.8872,-64.1651,80.35,72,99,6.49,VE,2021-07-26 14:52:18
186,Anito,12.4497,125.2886,82.29,78,100,10.0,PH,2021-07-26 14:52:19
187,Puerto Princesa,9.7392,118.7353,81.34,77,99,2.51,PH,2021-07-26 14:52:19
188,Seoul,37.5683,126.9778,82.0,67,0,3.44,KR,2021-07-26 14:48:13
189,Dumas,35.8656,-101.9732,78.12,55,62,7.0,US,2021-07-26 14:52:19
190,Tabuk,17.4189,121.4443,77.99,78,97,3.27,PH,2021-07-26 14:50:18
191,Codrington,-38.2667,141.9667,49.32,88,100,15.23,AU,2021-07-26 14:52:20
192,Saint-Pierre,-21.3393,55.4781,71.28,75,90,20.71,RE,2021-07-26 14:52:20
193,Santa Isabel,-23.3156,-46.2214,79.83,21,0,4.65,BR,2021-07-26 14:52:20
194,Thunder Bay,48.4001,-89.3168,75.29,72,75,5.75,CA,2021-07-26 14:52:21
195,Port Alfred,-33.5906,26.891,67.96,40,100,5.79,ZA,2021-07-26 14:50:54
196,Lusambo,-4.9667,23.45,91.24,18,79,6.64,CD,2021-07-26 14:52:21
197,Amurrio,43.05,-3.0,77.32,45,8,8.43,ES,2021-07-26 14:52:21
198,Gat,31.61,34.7642,91.4,55,0,13.38,IL,2021-07-26 14:52:22
199,Lorengau,-2.0226,147.2712,81.28,76,30,4.05,PG,2021-07-26 14:52:22
200,Faanui,-16.4833,-151.75,77.72,76,66,10.09,PF,2021-07-26 14:52:22
201,Broken Hill,-31.95,141.4333,55.11,44,28,9.22,AU,2021-07-26 14:52:23
202,Tupiza,-21.45,-65.7167,58.87,20,0,24.61,BO,2021-07-26 14:52:23
203,Killybegs,54.6333,-8.45,62.31,83,100,5.5,IE,2021-07-26 14:52:23
204,Rapid Valley,44.0625,-103.1463,91.04,35,63,6.91,US,2021-07-26 14:52:24
205,Port Hardy,50.6996,-127.4199,57.38,94,90,2.3,CA,2021-07-26 14:51:04
206,Lagoa,39.05,-27.9833,69.75,85,76,8.93,PT,2021-07-26 14:52:24
207,Novyy Yarychiv,49.9044,24.3052,83.53,65,32,12.64,UA,2021-07-26 14:52:25
208,Ternate,0.8,127.4,81.28,79,100,7.78,ID,2021-07-26 14:52:25
209,Barbate,36.1924,-5.9219,86.09,63,6,11.12,ES,2021-07-26 14:52:25
210,San Cristobal,7.7669,-72.225,73.58,57,98,5.08,VE,2021-07-26 14:52:26
211,Umba,66.6871,34.3429,58.15,52,80,11.52,RU,2021-07-26 14:52:26
212,Batemans Bay,-35.7167,150.1833,57.2,61,100,9.82,AU,2021-07-26 14:51:28
213,Bela,25.9333,81.9833,84.45,75,100,9.89,IN,2021-07-26 14:52:26
214,Lalibela,12.0333,39.0333,62.17,80,100,0.36,ET,2021-07-26 14:52:27
215,Zhaozhou,45.6833,125.3167,75.99,81,100,4.14,CN,2021-07-26 14:52:27
216,Vitorino Freire,-4.0667,-45.1667,90.09,32,14,7.92,BR,2021-07-26 14:52:27
217,Aroeiras,-7.5453,-35.7075,76.89,40,39,13.71,BR,2021-07-26 14:52:28
218,Pochutla,15.7432,-96.4661,81.82,64,100,0.87,MX,2021-07-26 14:52:28
219,Wanning,18.8003,110.3967,82.9,86,27,3.27,CN,2021-07-26 14:52:28
220,Riyadh,24.6877,46.7219,113.14,8,36,17.85,SA,2021-07-26 14:50:02
221,Banamba,13.55,-7.45,91.49,47,93,7.58,ML,2021-07-26 14:52:28
222,Coxim,-18.5067,-54.76,92.97,19,0,7.76,BR,2021-07-26 14:52:29
223,Mitchell,43.7094,-98.0298,71.58,78,1,9.22,US,2021-07-26 14:50:13
224,Verkhnyaya Inta,65.9811,60.3094,51.58,58,89,10.96,RU,2021-07-26 14:52:29
225,Kamenka,51.3223,42.7678,79.11,32,35,3.8,RU,2021-07-26 14:52:29
226,Darhan,49.4867,105.9228,62.38,70,7,2.95,MN,2021-07-26 14:52:30
227,Tommot,58.9564,126.2925,59.54,83,0,3.2,RU,2021-07-26 14:52:30
228,Uporovo,56.3109,66.2693,59.0,59,100,6.55,RU,2021-07-26 14:52:31
229,Itapuranga,-15.5622,-49.9486,84.34,27,6,5.5,BR,2021-07-26 14:52:31
